Coin,Weight
BNB-USD,0.5393498694135553
DOGE-USD,0.15018095110893612
ETH-USD,9.768719492160986e-18
FIL-USD,0.07481766808215518
LINK-USD,0.14274519006425573
TRX-USD,0.09290632133109804
XLM-USD,7.133694181353185e-17
XRP-USD,1.798878662676164e-16
