Date,Equal Portfolio Growth
2019-01-03,0.978607286427303
2019-01-04,1.0118425546486018
2019-01-05,1.0057852281711719
2019-01-06,1.0589591519860533
2019-01-07,1.0382518081087306
2019-01-08,1.0673370534621351
2019-01-09,1.073867140659313
2019-01-10,0.9522243451113516
2019-01-11,0.9664083539045417
2019-01-12,0.9546208335885217
2019-01-13,0.9091592259297988
2019-01-14,0.9757634703767475
2019-01-15,0.9558395768884663
2019-01-16,0.9698859693199255
2019-01-17,0.9794796727420709
2019-01-18,0.9676946840768574
2019-01-19,0.9887710986230992
2019-01-20,0.9569422813691324
2019-01-21,0.9580332178098938
2019-01-22,0.9700315858486565
2019-01-23,0.9605900803314436
2019-01-24,0.9683533101889894
2019-01-25,0.9700059129545944
2019-01-26,0.9710302365042486
2019-01-27,0.9552203199095608
2019-01-28,0.8964626089912742
2019-01-29,0.8944159976448829
2019-01-30,0.9110913429324428
2019-01-31,0.8884842230854678
2019-02-01,0.9043590688413699
2019-02-02,0.9191904179519247
2019-02-03,0.896398671028983
2019-02-04,0.900234644037978
2019-02-05,0.9064000359702417
2019-02-06,0.8879934673175216
2019-02-07,0.8870752352896136
2019-02-08,0.983904117278968
2019-02-09,0.9909285685285649
2019-02-10,0.9999072212651949
2019-02-11,0.9743186859623224
2019-02-12,0.9711900876082021
2019-02-13,0.9686548862498604
2019-02-14,0.956504847874218
2019-02-15,0.972406913436657
2019-02-16,0.976435473977639
2019-02-17,0.994541688799471
2019-02-18,1.0636778381148593
2019-02-19,1.0781538466374252
2019-02-20,1.1004777440429134
2019-02-21,1.0674257023539162
2019-02-22,1.0874148230403087
2019-02-23,1.1217490719594079
2019-02-24,1.011069501253392
2019-02-25,1.0479061872088642
2019-02-26,1.0305037643224926
2019-02-27,1.0254406649005334
2019-02-28,1.0293221192059754
2019-03-01,1.0370627599909903
2019-03-02,1.0337619887616776
2019-03-03,1.0316833525747857
2019-03-04,1.0069152856733425
2019-03-05,1.0731501517246869
2019-03-06,1.0809601884790752
2019-03-07,1.0882332995489639
2019-03-08,1.0753204857902392
2019-03-09,1.10123585836945
2019-03-10,1.1126684180805304
2019-03-11,1.0911114752790039
2019-03-12,1.1159785842123373
2019-03-13,1.104536758345091
2019-03-14,1.1227424351318838
2019-03-15,1.1350894293877394
2019-03-16,1.164796442938109
2019-03-17,1.1495751943059929
2019-03-18,1.1548210218176425
2019-03-19,1.1680361815880844
2019-03-20,1.1697933872585808
2019-03-21,1.1486124269010558
2019-03-22,1.1703198669343928
2019-03-23,1.186400404970272
2019-03-24,1.1865894318992822
2019-03-25,1.1644651065474074
2019-03-26,1.1604015526715243
2019-03-27,1.2098736775310284
2019-03-28,1.1953800074180818
2019-03-29,1.2097636560006335
2019-03-30,1.2106585242330252
2019-03-31,1.2174701078603423
2019-04-01,1.2594552288774288
2019-04-02,1.4406981091778481
2019-04-03,1.441480023167826
2019-04-04,1.4595311748505275
2019-04-05,1.5218674839617465
2019-04-06,1.5141074295703134
2019-04-07,1.5828529886757667
2019-04-08,1.5611110402079866
2019-04-09,1.5032426628038902
2019-04-10,1.54552766457205
2019-04-11,1.430097346388225
2019-04-12,1.4408662922643616
2019-04-13,1.4563088837175118
2019-04-14,1.4969638063954838
2019-04-15,1.4668014835629242
2019-04-16,1.5022462856975682
2019-04-17,1.5050343690588286
2019-04-18,1.5444939556229336
2019-04-19,1.544583233600684
2019-04-20,1.5324740104894075
2019-04-21,1.4891454574730902
2019-04-22,1.4993287892636968
2019-04-23,1.4835357435724235
2019-04-24,1.435034804701102
2019-04-25,1.355185095508201
2019-04-26,1.369922165323659
2019-04-27,1.3742528147717032
2019-04-28,1.3795357835233548
2019-04-29,1.3476853271367077
2019-04-30,1.4131284393274588
2019-05-01,1.4137839922090933
2019-05-02,1.4230115399631962
2019-05-03,1.4929838160814888
2019-05-04,1.4822626736273576
2019-05-05,1.4507699163933343
2019-05-06,1.4604537074590676
2019-05-07,1.4330172516750872
2019-05-08,1.4628422101075098
2019-05-09,1.4227326166461005
2019-05-10,1.4529503604933924
2019-05-11,1.620823840217503
2019-05-12,1.5461904449890935
2019-05-13,1.6385917866520927
2019-05-14,1.8039252266155266
2019-05-15,1.9849193971384769
2019-05-16,1.9530739252254827
2019-05-17,1.835497906373594
2019-05-18,1.810818166405984
2019-05-19,1.9801895029076462
2019-05-20,1.9518901687154044
2019-05-21,1.9943632085079472
2019-05-22,1.9060364175838422
2019-05-23,1.945033385581589
2019-05-24,1.9898501978955647
2019-05-25,1.978571193547463
2019-05-26,2.0889009557589895
2019-05-27,2.187241608912068
2019-05-28,2.1879724972036128
2019-05-29,2.1563442051629713
2019-05-30,2.0550226621924725
2019-05-31,2.122710904736365
2019-06-01,2.1118202765684906
2019-06-02,2.1994758421259357
2019-06-03,2.066830499612681
2019-06-04,1.950608180957856
2019-06-05,1.9909663065794405
2019-06-06,2.0308976850501748
2019-06-07,2.0760338197700157
2019-06-08,2.058487206242243
2019-06-09,1.9565010436867736
2019-06-10,2.067698107213942
2019-06-11,2.054976469277789
2019-06-12,2.1273230165647754
2019-06-13,2.2070315652212575
2019-06-14,2.2094164632048927
2019-06-15,2.255120716639397
2019-06-16,2.3289212583602628
2019-06-17,2.347473599035746
2019-06-18,2.261971550889165
2019-06-19,2.3036918333951606
2019-06-20,2.3219907895433094
2019-06-21,2.38142341927989
2019-06-22,2.614387181229847
2019-06-23,2.546562965873465
2019-06-24,2.576532124210916
2019-06-25,2.6158038202349885
2019-06-26,2.702644883843775
2019-06-27,2.4309267068505243
2019-06-28,2.551726819765067
2019-06-29,2.633248103861143
2019-06-30,2.4094323525325914
2019-07-01,2.4301582629442318
2019-07-02,2.4193717228869556
2019-07-03,2.485904801919972
2019-07-04,2.4173565233920993
2019-07-05,2.4533936732961115
2019-07-06,2.454128604121664
2019-07-07,2.535953859448269
2019-07-08,2.5641782995072187
2019-07-09,2.494636580704719
2019-07-10,2.3578645546127914
2019-07-11,2.1796425730522633
2019-07-12,2.3130183608019212
2019-07-13,2.23499103382656
2019-07-14,1.993291676578302
2019-07-15,2.1401577306290807
2019-07-16,1.8664288211668205
2019-07-17,1.9901986978365667
2019-07-18,2.078577932675259
2019-07-19,2.0860674079165267
2019-07-20,2.150794196527171
2019-07-21,2.1319141030933526
2019-07-22,2.06918069735028
2019-07-23,1.969746426552177
2019-07-24,2.006348835804904
2019-07-25,2.0064004480075686
2019-07-26,2.0396038017032625
2019-07-27,1.9480154114163188
2019-07-28,1.957998325394986
2019-07-29,1.9431233579922127
2019-07-30,1.9455265670817485
2019-07-31,2.009625729261222
2019-08-01,2.011365170166905
2019-08-02,1.9996514548347957
2019-08-03,2.0248150463747066
2019-08-04,2.033051442624678
2019-08-05,2.1006657896445042
2019-08-06,2.0207376197812366
2019-08-07,2.0504682772786054
2019-08-08,2.016586534245024
2019-08-09,1.9391921364264189
2019-08-10,1.9374243496848533
2019-08-11,2.006616030180511
2019-08-12,1.9790940956808691
2019-08-13,1.9447074435821865
2019-08-14,1.7919500242532669
2019-08-15,1.8129551853837074
2019-08-16,1.8000788442725342
2019-08-17,1.8026547177013161
2019-08-18,1.860634722966998
2019-08-19,1.9105543222617514
2019-08-20,1.8679797640441191
2019-08-21,1.7857210734671614
2019-08-22,1.8355728877539912
2019-08-23,1.8699180676095364
2019-08-24,1.8316889933110236
2019-08-25,1.8376755471479784
2019-08-26,1.8537270720091856
2019-08-27,1.8306686781189454
2019-08-28,1.6940989650153349
2019-08-29,1.6037128398513292
2019-08-30,1.6463067155688298
2019-08-31,1.6324765032970154
2019-09-01,1.6648741397857914
2019-09-02,1.7115304872405974
2019-09-03,1.736860320955268
2019-09-04,1.7055674119008393
2019-09-05,1.685957983585471
2019-09-06,1.6604070408941756
2019-09-07,1.7130949792322174
2019-09-08,1.7292734824423055
2019-09-09,1.7035806525053807
2019-09-10,1.693975975816787
2019-09-11,1.6539333581272109
2019-09-12,1.6770904126132125
2019-09-13,1.6730786278221883
2019-09-14,1.691031787594784
2019-09-15,1.6875823621333197
2019-09-16,1.7028412277427307
2019-09-17,1.7596156973995554
2019-09-18,1.8795974680281629
2019-09-19,1.8452341406217572
2019-09-20,1.8082635107532865
2019-09-21,1.7932192921073211
2019-09-22,1.754122537793233
2019-09-23,1.6697872164852436
2019-09-24,1.4355010237242254
2019-09-25,1.4706024422737
2019-09-26,1.4327638789607722
2019-09-27,1.4651142459303808
2019-09-28,1.4545724697321534
2019-09-29,1.4329795541150672
2019-09-30,1.488881338429007
2019-10-01,1.476296679569941
2019-10-02,1.5013399514191692
2019-10-03,1.4716170890372513
2019-10-04,1.4831644845317553
2019-10-05,1.4726165799012199
2019-10-06,1.4896282165794832
2019-10-07,1.5698992773454565
2019-10-08,1.5654192162299758
2019-10-09,1.6566097499457613
2019-10-10,1.6108001045058589
2019-10-11,1.5796881029746819
2019-10-12,1.5853526434606697
2019-10-13,1.6059096885327373
2019-10-14,1.6504458146921832
2019-10-15,1.6125494604141621
2019-10-16,1.5759527126250004
2019-10-17,1.6171186066595773
2019-10-18,1.5993411911636246
