Date,Optimized Portfolio Growth
2019-01-03,0.9937772043174664
2019-01-04,1.04240439954418
2019-01-05,1.026608380665804
2019-01-06,1.0631631292591017
2019-01-07,1.049732974270343
2019-01-08,1.1107443726833162
2019-01-09,1.1082336382892388
2019-01-10,0.9952165518724692
2019-01-11,1.0432984108756218
2019-01-12,1.0210458976905337
2019-01-13,0.9750678161647542
2019-01-14,1.0684516285418768
2019-01-15,1.048469752581407
2019-01-16,1.0725397256334739
2019-01-17,1.0919514022514079
2019-01-18,1.104920008238754
2019-01-19,1.119153073076024
2019-01-20,1.0961297154157261
2019-01-21,1.1077957824006817
2019-01-22,1.1158352635882536
2019-01-23,1.1081843811097665
2019-01-24,1.109028431547703
2019-01-25,1.127146359556072
2019-01-26,1.1527755342264148
2019-01-27,1.1436748954280307
2019-01-28,1.0399462981341423
2019-01-29,1.0502789163212933
2019-01-30,1.0442973433834746
2019-01-31,1.0300564490158814
2019-02-01,1.071270527328855
2019-02-02,1.1046548549923179
2019-02-03,1.0765030152960233
2019-02-04,1.1100069442934024
2019-02-05,1.1751793482907584
2019-02-06,1.1838405503380205
2019-02-07,1.1552235713031
2019-02-08,1.263733377869212
2019-02-09,1.2947306863444679
2019-02-10,1.3094210378236244
2019-02-11,1.3167300486860105
2019-02-12,1.2920194364930653
2019-02-13,1.2723716404484677
2019-02-14,1.2523598405564527
2019-02-15,1.2999771471129897
2019-02-16,1.2962766877351717
2019-02-17,1.314670725420333
2019-02-18,1.3832480671867997
2019-02-19,1.4426419184763892
2019-02-20,1.4759986937284124
2019-02-21,1.42621201815779
2019-02-22,1.4575476309544364
2019-02-23,1.4689272595452807
2019-02-24,1.3670214627249258
2019-02-25,1.3856380535558197
2019-02-26,1.3448252934810625
2019-02-27,1.3642222673209383
2019-02-28,1.3973236927329657
2019-03-01,1.468327635205903
2019-03-02,1.4919563937288385
2019-03-03,1.4701540355703304
2019-03-04,1.4607632625602014
2019-03-05,1.6431391531997075
2019-03-06,1.686772474450005
2019-03-07,1.7334510451099212
2019-03-08,1.6858024616652554
2019-03-09,1.7105517454469872
2019-03-10,1.7199436068828275
2019-03-11,1.6828914922883296
2019-03-12,1.766081126936874
2019-03-13,1.7321088115642844
2019-03-14,1.7514082033372425
2019-03-15,1.7489318637164155
2019-03-16,1.8232410573791966
2019-03-17,1.794909878699401
2019-03-18,1.7926509705332478
2019-03-19,1.798830873032433
2019-03-20,1.7715393595318285
2019-03-21,1.7115223644767965
2019-03-22,1.7689162182905789
2019-03-23,1.7756076966567824
2019-03-24,1.897547965529573
2019-03-25,1.8703372582460474
2019-03-26,1.8235750259252748
2019-03-27,1.8898854589191731
2019-03-28,1.8843407837948616
2019-03-29,1.8732649146924216
2019-03-30,1.8972315888298044
2019-03-31,1.9327873228542527
2019-04-01,2.0441835086629876
2019-04-02,2.262802337360076
2019-04-03,2.20794963356746
2019-04-04,2.304972737287389
2019-04-05,2.3427156352939744
2019-04-06,2.2983492708699864
2019-04-07,2.32736172707064
2019-04-08,2.2303661996897928
2019-04-09,2.1909175040684956
2019-04-10,2.214288224811403
2019-04-11,2.0940910732239
2019-04-12,2.160927494563786
2019-04-13,2.214533901418051
2019-04-14,2.290105466012393
2019-04-15,2.2666272529401437
2019-04-16,2.305810973846656
2019-04-17,2.3036095713075975
2019-04-18,2.4903538208135685
2019-04-19,2.623537108888061
2019-04-20,2.6400333096114283
2019-04-21,2.5527487911626214
2019-04-22,2.5405776310281896
2019-04-23,2.4653019832947627
2019-04-24,2.4433437301114793
2019-04-25,2.3227673485309097
2019-04-26,2.359218445256128
2019-04-27,2.336284433567952
2019-04-28,2.388831105125815
2019-04-29,2.292901538314169
2019-04-30,2.3697010821649562
2019-05-01,2.361801558022331
2019-05-02,2.46239661005659
2019-05-03,2.5579347402861634
2019-05-04,2.513000967747086
2019-05-05,2.489628772293833
2019-05-06,2.4756640520621964
2019-05-07,2.370216533070377
2019-05-08,2.415090362436458
2019-05-09,2.280800286812432
2019-05-10,2.343165783747097
2019-05-11,2.5294607428267937
2019-05-12,2.459655002849495
2019-05-13,2.6914935782422136
2019-05-14,2.857125474337855
2019-05-15,3.134365616074919
2019-05-16,3.1161007277087176
2019-05-17,2.9972011706264103
2019-05-18,3.158035213931089
2019-05-19,3.3196610228280234
